2020-06-22 13:56:05.4432 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 22.06.2020 13:56:05

2020-06-22 13:56:05.4932 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 22.06.2020 13:56:05

2020-06-22 13:56:06.9231 INFO (API Server) -Try to GET Reviews for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 13:56:06

2020-06-22 13:56:07.0231 INFO (API Server) -Try to GET Review's rating for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 13:56:07

2020-06-22 13:56:38.8516 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 22.06.2020 13:56:38

2020-06-22 13:56:38.9216 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 22.06.2020 13:56:38

2020-06-22 13:56:40.1615 INFO (API Server) - Try to GET ALL books - Controller name: BooksController; Actionname: GetAll(); HTTP method : HttpGet; Time: 22.06.2020 13:56:40

2020-06-22 13:56:40.2915 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 22.06.2020 13:56:40

2020-06-22 13:56:40.3315 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 22.06.2020 13:56:40

2020-06-22 13:56:41.7115 INFO (API Server) -Try to GET Reviews for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 13:56:41

2020-06-22 13:56:41.7714 INFO (API Server) -Try to GET Review's rating for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 13:56:41

2020-06-22 13:57:54.8061 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 22.06.2020 13:57:54

2020-06-22 13:57:54.9661 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 22.06.2020 13:57:54

2020-06-22 13:57:57.9460 INFO (API Server) - Try to GET ALL books - Controller name: BooksController; Actionname: GetAll(); HTTP method : HttpGet; Time: 22.06.2020 13:57:57

2020-06-22 13:57:58.4760 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 22.06.2020 13:57:58

2020-06-22 13:57:58.5259 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 22.06.2020 13:57:58

2020-06-22 13:57:59.9859 INFO (API Server) -Try to GET Reviews for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 13:57:59

2020-06-22 13:58:00.0959 INFO (API Server) -Try to GET Review's rating for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 13:58:00

2020-06-22 13:58:02.1758 INFO (API Server) -Try to GET Reviews for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 13:58:02

2020-06-22 13:58:02.2458 INFO (API Server) -Try to GET Review's rating for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 13:58:02

2020-06-22 14:00:59.7375 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 22.06.2020 14:00:59

2020-06-22 14:00:59.9075 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 22.06.2020 14:00:59

2020-06-22 14:01:03.5273 INFO (API Server) - Try to GET ALL books - Controller name: BooksController; Actionname: GetAll(); HTTP method : HttpGet; Time: 22.06.2020 14:01:03

2020-06-22 14:01:04.0373 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 22.06.2020 14:01:04

2020-06-22 14:01:04.0973 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 22.06.2020 14:01:04

2020-06-22 14:01:05.4272 INFO (API Server) -Try to GET Reviews for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 14:01:05

2020-06-22 14:01:05.5472 INFO (API Server) -Try to GET Review's rating for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 14:01:05

2020-06-22 14:01:06.5672 INFO (API Server) -Try to GET Reviews for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 14:01:06

2020-06-22 14:01:06.6172 INFO (API Server) -Try to GET Review's rating for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 14:01:06

2020-06-22 14:29:53.9998 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 22.06.2020 14:29:52

2020-06-22 14:29:54.3740 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 22.06.2020 14:29:54

2020-06-22 14:30:08.0325 INFO (API Server) - Try to GET ALL books - Controller name: BooksController; Actionname: GetAll(); HTTP method : HttpGet; Time: 22.06.2020 14:30:08

2020-06-22 14:30:34.7541 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 22.06.2020 14:30:34

2020-06-22 14:30:34.8685 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 22.06.2020 14:30:34

2020-06-22 14:31:57.5229 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 22.06.2020 14:31:57

2020-06-22 14:31:57.8068 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 22.06.2020 14:31:57

2020-06-22 14:32:03.7635 INFO (API Server) - Try to GET ALL books - Controller name: BooksController; Actionname: GetAll(); HTTP method : HttpGet; Time: 22.06.2020 14:32:03

2020-06-22 14:32:29.6598 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 22.06.2020 14:32:29

2020-06-22 14:32:29.7703 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 22.06.2020 14:32:29

2020-06-22 14:32:35.7721 INFO (API Server) -Try to GET Reviews for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 14:32:35

2020-06-22 14:32:36.3595 INFO (API Server) -Try to GET Review's rating for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 14:32:36

2020-06-22 14:34:28.8741 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 22.06.2020 14:34:27

2020-06-22 14:34:29.1441 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 22.06.2020 14:34:29

2020-06-22 14:34:49.8026 INFO (API Server) - Try to GET ALL books - Controller name: BooksController; Actionname: GetAll(); HTTP method : HttpGet; Time: 22.06.2020 14:34:49

2020-06-22 14:35:16.2167 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 22.06.2020 14:35:16

2020-06-22 14:35:16.2817 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 22.06.2020 14:35:16

2020-06-22 14:35:20.9500 INFO (API Server) -Try to GET Reviews for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 14:35:20

2020-06-22 14:35:21.2933 INFO (API Server) -Try to GET Review's rating for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 14:35:21

2020-06-22 14:50:07.6092 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 22.06.2020 14:50:06

2020-06-22 14:50:07.9067 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 22.06.2020 14:50:07

2020-06-22 14:50:14.3283 INFO (API Server) - Try to GET ALL books - Controller name: BooksController; Actionname: GetAll(); HTTP method : HttpGet; Time: 22.06.2020 14:50:14

2020-06-22 14:50:15.4598 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 22.06.2020 14:50:15

2020-06-22 14:50:15.4869 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 22.06.2020 14:50:15

2020-06-22 14:50:18.7872 INFO (API Server) -Try to GET Reviews for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 14:50:18

2020-06-22 14:50:19.1747 INFO (API Server) -Try to GET Review's rating for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 14:50:19

2020-06-22 14:51:24.2972 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 22.06.2020 14:51:22

2020-06-22 14:51:24.4698 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 22.06.2020 14:51:24

2020-06-22 14:51:31.7190 INFO (API Server) - Try to GET ALL books - Controller name: BooksController; Actionname: GetAll(); HTTP method : HttpGet; Time: 22.06.2020 14:51:31

2020-06-22 14:51:57.9236 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 22.06.2020 14:51:57

2020-06-22 14:51:57.9884 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 22.06.2020 14:51:57

2020-06-22 14:52:02.0346 INFO (API Server) -Try to GET Reviews for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 14:52:02

2020-06-22 14:52:02.3303 INFO (API Server) -Try to GET Review's rating for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 14:52:02

2020-06-22 14:52:12.3876 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 22.06.2020 14:52:12

2020-06-22 14:52:12.8747 INFO Log Information(API Server) -Try to POST Review 0(Id) - Controller : ReviewsController; Actionname: PostReview(...); HTTP method : HttpPost; Time: 22.06.2020 14:52:12


